Area,Quartos,Banheiros,Vagas,Bairro,Preco
132,2,2,3,Centro,5038.535142279915
136,5,2,0,Aeroporto,4983.35541336494
101,3,3,1,Barra,4375.806459221055
218,1,3,0,Porto,5672.845425284063
50,3,4,3,Barra,3777.2115632144737
132,2,4,0,Aeroporto,4668.781126657583
151,4,4,3,Centro,6305.955061876155
244,5,1,3,Aeroporto,7519.625638532305
117,1,4,0,Dornelas,4374.558950034968
129,5,4,1,Dornelas,5899.860379521516
181,2,3,2,Porto,6088.629268533131
160,5,4,0,Aeroporto,5887.558693287933
179,1,1,2,Porto,4879.199786152714
287,2,1,0,Porto,7029.488896939224
221,5,3,2,Dornelas,7448.199269701268
190,4,4,1,Porto,6512.019670545873
51,2,4,1,Dornelas,3277.500983450636
282,2,1,0,Centro,7115.970833937527
265,4,4,3,Aeroporto,8235.969793131453
78,3,4,2,Porto,4305.356655028493
88,1,4,3,Dornelas,4408.757366458891
199,3,2,3,Barra,6340.64423672292
217,5,3,3,Porto,7386.750544464141
219,4,2,1,Centro,6798.325422788173
204,3,3,0,Centro,6522.140207406306
80,2,1,0,Barra,2987.892841452296
84,5,4,1,Dornelas,5023.2819533103
273,5,3,1,Porto,7863.5333770164725
160,3,2,0,Dornelas,5260.092581886885
164,3,4,3,Centro,6455.276834797935
50,4,1,2,Dornelas,3545.958629080626
196,1,3,2,Centro,6843.258415995124
118,3,3,2,Dornelas,5097.450006141977
43,3,3,3,Barra,3308.9863507894975
271,2,4,0,Aeroporto,7496.133938227732
294,5,2,1,Barra,8135.9384166333875
82,1,2,0,Barra,3169.8500626758096
121,2,3,3,Aeroporto,4561.73598574981
293,4,1,1,Aeroporto,8238.84756889004
64,4,1,3,Porto,3642.6149313511164
235,3,2,2,Porto,6970.808521051188
110,3,1,2,Barra,4191.110539648899
79,4,2,3,Barra,4764.712837963333
31,3,3,1,Centro,3139.689308470522
83,1,2,1,Centro,4018.1392608698006
135,3,2,0,Porto,4903.537940529566
289,5,3,2,Porto,8900.516681833846
220,3,1,0,Centro,6542.1832868293795
247,2,2,0,Centro,7038.4493245540625
73,1,2,3,Dornelas,3078.0818551635975
191,2,3,3,Dornelas,6300.27915146231
