Area,Quartos,Preco
132,2,3786.649334114765
136,5,4694.382578377968
101,3,3472.9557953646927
218,1,5452.604055593872
50,3,2590.1434952624663
132,2,3940.761505038354
151,4,4929.234542436588
244,5,7227.661568696585
117,1,3627.388533860331
129,5,4258.775507887524
181,2,4281.519716274512
160,5,5483.579977809818
179,1,4288.280325396145
287,2,6983.808649526829
221,5,6177.47174348516
190,4,5149.504890604995
51,2,2455.365682051197
282,2,7129.788790075661
265,4,6955.87239981832
78,3,2462.2394269637725
88,1,2673.4388879368794
199,3,5627.951001350637
217,5,6020.272107806468
219,4,6225.839979944789
204,3,5626.172537706751
80,2,3044.822874900272
84,5,3759.8950921035384
273,5,7266.732764779611
160,3,5049.1428754161225
164,3,4790.367606743257
50,4,2793.173865122517
196,1,4736.683010231701
118,3,3799.1794372021222
43,3,2188.799321493275
271,2,6676.763485019144
294,5,8357.927120035585
82,1,2347.024714267161
121,2,3316.6096505308146
293,4,8027.792581873402
64,4,3027.6690807120335
235,3,6082.731815335021
110,3,4009.976171849019
79,4,3228.596115065784
31,3,2626.502428386734
83,1,2879.481467834817
135,3,4128.022147963575
289,5,8369.327053316376
220,3,5798.571269249165
247,2,6425.523843002326
73,1,2584.823145101623
191,2,5445.435322349699
231,2,6310.377799181713
299,5,8038.001037266442
244,1,5741.645532413454
281,1,6784.993035734779
219,1,5260.571157561973
242,1,6393.346811881655
237,1,5824.133832770684
266,5,7278.669612171972
82,3,3236.1700764662273
246,2,5883.218427617576
281,1,6427.096490372337
217,3,6190.103476986106
70,3,2785.776430257151
186,2,4758.272254329515
44,5,3064.1631881318217
94,4,3976.4260386657493
38,4,2739.7383276662667
158,3,4959.011921451454
165,2,4410.801227857635
92,4,3284.547333314539
168,3,5285.333412988872
110,5,4169.330040289466
192,4,5577.2917458862385
290,3,7682.048535462264
260,3,6889.057502350165
70,1,2563.971943020402
57,5,3731.250586225271
164,1,4169.120442404965
230,2,6131.960032020309
297,1,7004.253281224271
62,1,2357.148069715814
77,4,3722.117106603133
91,3,3496.958939072406
245,5,7084.574019762408
128,1,3878.1268343274505
201,5,5978.761817614279
243,1,5700.197583165248
64,2,2318.7977014947414
256,1,5678.410852655999
130,4,4914.05178248508
160,3,4474.197908569579
286,2,6964.686594103557
34,1,1660.7966750277699
247,5,7066.851674452275
284,2,7183.934303134824
236,2,6235.118372089936
44,1,1784.2306403577654
71,2,2678.219571553397
208,5,6280.644987622075
92,2,3077.8272184541133
260,5,7651.8363940049985
270,1,6572.743737909563
81,3,3353.7194465124544
125,2,3965.720317166853
251,3,6863.368464371331
260,5,7295.255389675926
266,2,6295.792013011039
172,4,5339.921987938161
200,3,5387.160776552043
58,2,2327.845829562561
65,3,2996.5910046887734
42,2,2449.570767858409
189,1,4835.317894184015
216,3,5947.208253149741
272,4,7665.553736158809
115,4,4160.188294872142
95,5,4600.420778545099
199,2,5421.377411407886
74,3,2589.8093102110456
91,5,4058.3354052761333
163,3,4905.289596220695
57,2,2762.4381885206863
137,4,4708.29533781749
73,1,2475.3860040040568
157,4,4633.925440927658
260,5,7197.7441856784935
219,1,5217.369886447675
254,5,6984.86913754882
150,2,4447.144601105152
145,1,4367.476126087851
262,5,7388.667882455746
288,2,6761.029234491204
227,4,6451.150667055035
166,2,4919.157871661413
194,3,5277.554273920155
254,2,6346.49570833177
263,2,6563.6720486823
201,3,5373.77542172944
181,5,5832.070108460965
189,5,5799.7629628480545
125,2,3904.883110976757
262,3,6568.126955549475
209,3,5620.635424919147
142,4,4820.595339456942
81,5,3576.791711977058
297,1,7421.7409628083515
142,5,4790.090953596349
130,5,4706.171181437971
142,4,4873.147707968273
110,1,2895.4085667667423
216,4,5679.797797004806
142,1,3508.5859213574763
31,2,2235.6460258567954
159,1,4092.035463526888
249,4,7419.549821417063
83,5,3568.938100335653
