Area,Preco
132,3440
136,3520
101,2820
218,5160
50,1800
132,3440
151,3820
244,5680
117,3140
129,3380
181,4420
160,4000
179,4380
287,6540
221,5220
190,4600
51,1820
282,6440
265,6100
78,2360
88,2560
199,4780
217,5140
219,5180
204,4880
80,2400
84,2480
273,6260
160,4000
164,4080
50,1800
196,4720
118,3160
43,1660
271,6220
294,6680
82,2440
121,3220
293,6660
64,2080
235,5500
110,3000
79,2380
31,1420
83,2460
135,3500
289,6580
220,5200
247,5740
73,2260
191,4620
231,5420
299,6780
244,5680
281,6420
219,5180
242,5640
237,5540
266,6120
82,2440
246,5720
281,6420
217,5140
70,2200
186,4520
44,1680
94,2680
38,1560
158,3960
165,4100
92,2640
168,4160
110,3000
192,4640
290,6600
260,6000
70,2200
57,1940
164,4080
230,5400
297,6740
62,2040
77,2340
91,2620
245,5700
128,3360
201,4820
243,5660
64,2080
256,5920
130,3400
160,4000
286,6520
34,1480
247,5740
284,6480
236,5520
44,1680
71,2220
208,4960
92,2640
260,6000
270,6200
81,2420
125,3300
251,5820
260,6000
266,6120
172,4240
200,4800
58,1960
65,2100
42,1640
189,4580
216,5120
272,6240
115,3100
95,2700
199,4780
74,2280
91,2620
163,4060
57,1940
137,3540
73,2260
157,3940
260,6000
219,5180
254,5880
150,3800
145,3700
262,6040
288,6560
227,5340
166,4120
194,4680
254,5880
263,6060
201,4820
181,4420
189,4580
125,3300
262,6040
209,4980
142,3640
81,2420
297,6740
142,3640
130,3400
142,3640
110,3000
216,5120
142,3640
31,1420
159,3980
249,5780
83,2460
253,5860
254,5880
155,3900
159,3980
82,2440
201,4820
247,5740
189,4580
227,5340
276,6320
232,5440
213,5060
152,3840
284,6480
127,3340
227,5340
269,6180
173,4260
126,3320
230,5400
153,3860
216,5120
288,6560
177,4340
281,6420
176,4320
177,4340
228,5360
157,3940
68,2160
158,3960
296,6720
180,4400
128,3360
292,6640
281,6420
173,4260
141,3620
89,2580
31,1420
283,6460
169,4180
66,2120
189,4580
38,1560
262,6040
128,3360
176,4320
237,5540
160,4000
181,4420
83,2460
149,3780
190,4600
145,3700
104,2880
142,3640
133,3460
283,6460
256,5920
141,3620
128,3360
182,4440
223,5260
192,4640
237,5540
198,4760
190,4600
97,2740
164,4080
224,5280
157,3940
62,2040
205,4900
51,1820
267,6140
187,4540
67,2140
259,5980
80,2400
293,6660
56,1920
255,5900
126,3320
176,4320
33,1460
64,2080
221,5220
78,2360
46,1720
201,4820
249,5780
187,4540
75,2300
35,1500
128,3360
262,6040
66,2120
210,5000
124,3280
128,3360
217,5140
145,3700
220,5200
282,6440
190,4600
285,6500
157,3940
47,1740
252,5840
83,2460
87,2540
203,4860
143,3660
180,4400
156,3920
184,4480
133,3460
275,6300
205,4900
68,2160
199,4780
276,6320
55,1900
42,1640
65,2100
202,4840
49,1780
293,6660
171,4220
172,4240
121,3220
244,5680
80,2400
182,4440
215,5100
92,2640
219,5180
154,3880
179,4380
87,2540
209,4980
199,4780
83,2460
130,3400
293,6660
82,2440
89,2580
137,3540
34,1480
132,3440
225,5300
291,6620
76,2320
173,4260
298,6760
153,3860
135,3500
187,4540
176,4320
174,4280
149,3780
121,3220
87,2540
258,5960
146,3720
156,3920
158,3960
87,2540
151,3820
30,1400
268,6160
125,3300
155,3900
147,3740
77,2340
118,3160
266,6120
218,5160
221,5220
98,2760
276,6320
105,2900
183,4460
173,4260
115,3100
214,5080
249,5780
98,2760
76,2320
123,3260
267,6140
233,5460
247,5740
68,2160
129,3380
283,6460
251,5820
52,1840
279,6380
39,1580
275,6300
129,3380
209,4980
252,5840
279,6380
176,4320
125,3300
286,6520
33,1460
45,1700
276,6320
287,6540
189,4580
181,4420
207,4940
192,4640
62,2040
208,4960
130,3400
297,6740
94,2680
197,4740
72,2240
73,2260
41,1620
124,3280
282,6440
271,6220
64,2080
244,5680
119,3180
293,6660
122,3240
119,3180
144,3680
134,3480
225,5300
143,3660
104,2880
246,5720
278,6360
193,4660
221,5220
256,5920
206,4920
128,3360
65,2100
125,3300
181,4420
180,4400
219,5180
253,5860
66,2120
297,6740
212,5040
42,1640
246,5720
91,2620
113,3060
246,5720
216,5120
48,1760
206,4920
129,3380
262,6040
105,2900
294,6680
235,5500
252,5840
81,2420
173,4260
98,2760
128,3360
54,1880
82,2440
180,4400
173,4260
86,2520
68,2160
138,3560
210,5000
71,2220
215,5100
252,5840
151,3820
162,4040
192,4640
244,5680
250,5800
264,6080
175,4300
268,6160
105,2900
38,1560
103,2860
282,6440
259,5980
36,1520
203,4860
170,4200
197,4740
199,4780
151,3820
223,5260
34,1480
58,1960
194,4680
165,4100
174,4280
246,5720
161,4020
99,2780
281,6420
211,5020
196,4720
120,3200
231,5420
48,1760
68,2160
155,3900
202,4840
170,4200
271,6220
249,5780
155,3900
87,2540
177,4340
30,1400
219,5180
220,5200
146,3720
163,4060
87,2540
73,2260
202,4840
189,4580
202,4840
178,4360
109,2980
242,5640
232,5440
281,6420
