Area,Preco
132,3464.4190246372077
136,3326.7475540361334
101,2826.127543564736
218,5284.499572811363
50,2162.7859019487605
132,3679.8177065213017
151,4358.295614377889
244,5488.163109277988
117,3358.0801591801696
129,3425.835501434588
181,4967.4507333044185
160,3797.925428661212
179,4170.069539454806
287,6390.151838638994
221,4689.026068922548
190,4468.56124457981
51,1630.2168346115755
282,6477.598446619052
265,6185.43899394429
78,2829.042709803972
88,2797.6059595465126
199,4635.7740860844
217,4915.396332162911
219,5302.979792876627
204,4549.941698244839
80,2857.8646914635883
84,2774.8600301803217
273,6142.706086973823
160,3571.7163677272806
164,4418.4680935413535
50,1771.3650386868455
196,5029.454077993365
118,2761.393085301408
43,1510.1562442615568
271,6221.310924929546
294,6691.745148441186
82,2327.483632130189
121,3375.7124830868747
293,6393.0948926543515
64,2044.4051287446766
235,5530.073907927975
110,3128.609708514687
79,2557.9037195222227
31,1138.8394770405328
83,2076.4714573160945
135,3819.4192054746272
289,6663.078502994898
220,5012.878365860862
247,6127.787993880631
73,2288.9186585732145
191,4914.824296015957
231,5436.879620352527
299,7295.186981220497
244,6118.835210610801
281,6357.758962880232
219,5422.892737738589
242,5801.343987396287
237,5882.157889383087
266,5878.769134854974
82,2611.51286499961
246,5984.606121712397
281,5980.315128394222
217,4844.185371833556
70,1690.1919555599748
186,4452.64829138886
44,1859.3855639489907
94,3055.589263024007
38,1578.5236951049437
158,4367.153886392823
165,3754.9746354462773
92,2214.1543901612113
168,4146.113075275845
110,3096.016362234827
192,4631.826312976476
290,6083.139474990031
260,5977.719990121803
70,1873.8826248737867
57,2107.4181372075095
164,4171.649561524212
230,5165.0300534181615
297,6611.533270665826
62,1775.196619527762
77,2324.330225681707
91,2858.7855801253095
245,5453.568488416114
128,3486.011628879461
201,4687.43559540689
243,5461.781791934414
64,2053.2424100113603
256,5661.189419395157
130,3261.5876736632044
160,3700.5305268527877
286,7011.181283229097
34,1488.8158879929322
247,5565.068623001854
284,6533.494977683556
236,5491.9179875772925
44,1624.7576001166942
71,2373.541675010856
208,5149.376927511827
92,2507.374713097368
260,5856.04543983883
270,6131.237075712089
81,1844.519708816104
125,2921.202234450362
251,6161.718566861131
260,6411.241928375321
266,6057.740990110906
172,4384.139240763941
200,4877.812538635884
58,2729.7202021138096
65,2379.893727858644
42,1608.0206021298084
189,4341.114889849893
216,4718.388419935607
272,6290.865908966805
115,2910.912313678924
95,2344.4365726005817
199,4618.356778939368
74,2009.6129990964014
91,3041.785408768141
163,4280.409939237363
57,1938.0068396708457
137,3909.9860347225067
73,2279.3420769119048
157,3724.678949667934
260,6380.781019317415
219,5314.727510921165
254,5620.6884614183855
150,3752.415330479098
145,3481.095436653811
262,5694.300067258916
288,6791.544386882911
227,5817.354160117533
166,3770.3581065452145
194,4820.742309172642
254,5717.339357719543
263,5938.218654058826
201,4671.901518940283
181,4204.002307580046
189,4592.130406986207
125,3092.2624708972407
262,6107.61420644496
209,4967.440472637716
142,3580.2629882833976
81,2193.1090844896007
297,6595.807167357917
142,3828.847806456439
130,3525.229296906095
142,3395.6111888003625
110,3024.8330763573063
216,5307.846780842947
142,3222.648679719657
31,1555.8400480949838
159,3814.3440602635383
249,5922.64966714829
83,2269.1852108643707
253,5408.77947483387
254,5473.114390529209
155,3912.0212366653454
159,4044.9306254303706
82,2213.9208437238976
201,4979.648114694343
247,5324.61998443276
189,4563.480050338171
227,5037.245950059386
276,6157.04097304946
232,5451.849667829103
213,4844.896658679012
152,3743.861113942544
284,6731.57320230361
127,3195.7770326192126
227,5548.923028016286
269,5897.573286335595
173,4392.451044478821
126,3680.3921551644753
230,4782.088874968178
153,3660.7761861323806
216,5264.268031795135
288,6509.238653489252
177,4432.786468342827
281,6269.003703321045
176,4341.647446868225
177,4301.08069115198
228,5651.945515414952
157,4003.6052108253034
68,2244.4006655188005
158,3857.0307584693833
296,6598.098443981877
180,4291.860453045095
128,3458.6130355945743
292,6534.753879794935
281,6492.443714224103
173,4778.8501996613595
141,3837.7811758579232
89,2498.4941169580397
31,1720.3034805409861
283,6357.981156744612
169,3670.4688662055364
66,1867.978422270649
189,4112.302019743536
38,1472.121628989673
262,6044.604594797388
128,3779.1093280688206
176,4401.731843441041
237,5485.224867797784
160,4207.351395295872
181,3867.216172748029
83,2518.9036395271414
149,3972.7162984717415
190,4230.353438555039
145,3985.9385108017323
104,2964.6241018736036
142,3536.1780215247995
133,3618.195466526571
283,7027.673214451099
256,5965.466563764624
141,3682.055146575084
128,3245.159775114939
182,4227.538907633802
223,5467.583954136061
192,4425.979043522783
237,5557.891559304848
198,4640.585638308721
190,4719.744956436598
97,2823.415526321737
164,4339.384986064475
224,5152.495900286313
157,3872.531266176657
62,1795.3090710544232
205,4788.926684980972
51,1914.325123261213
267,6329.247154161338
187,4309.458668955594
67,2357.401480026415
259,6318.909464701238
80,2503.358725805925
293,7129.198953139517
56,1726.5527002241067
255,5588.836324172145
126,2875.31993777393
176,4694.011077872296
33,1623.5914140885145
64,2066.103832272386
221,5289.992156579955
78,2078.6277381754057
46,2331.437994904207
201,4852.305295493807
249,5807.3486986512235
187,4721.441655974673
75,2420.252307934178
35,1555.9710060697828
128,3162.381386138672
262,6157.867089283999
66,2590.5061241187586
210,5336.355011538744
124,3678.2966566598493
128,3232.1960808922036
217,4892.598794935355
145,3668.553269975088
220,5213.931228072173
282,6713.547879617737
190,4176.883842571295
285,6882.387579865153
157,3900.4980253552526
47,1633.279732513145
252,5586.973906184958
83,2046.2858320335577
87,2745.792645990479
203,4878.329491797101
143,3337.5097750647365
180,4076.230306984096
156,3836.053825177468
184,4897.2553813223485
133,3395.102162159099
275,5924.214261720474
205,4838.564233978514
68,2091.8191075630825
199,4105.778339264607
276,6306.426283370547
55,1842.2663674478306
42,1814.0515912033545
65,2562.239023736336
202,5121.641257386939
49,1712.7778273612923
293,6383.368522814582
171,4863.339950812465
172,4254.804608503622
121,3223.4823229782364
244,5673.9687282224995
80,2449.521190191964
182,4403.909897019014
215,4956.584498279941
92,2503.285264689902
219,5171.811682446
154,3744.143807216559
179,4201.788554330709
87,2566.6075569229743
209,4916.255695644786
199,5155.998247145672
83,1797.2575479017469
130,3672.8767129806156
293,6971.521298124408
82,1921.6524418979625
89,2494.3281014799127
137,3447.139783501052
34,1128.1220763205447
132,3245.545828102281
225,5022.356038633543
291,7058.0676108559055
76,2553.9195982868655
173,4577.888773748539
298,6940.418016010809
153,3577.7370571956926
135,3368.869933430057
187,4662.343640306979
176,4014.4680477770135
174,4458.249607543097
149,3719.9186504604663
121,3126.294798112601
87,2717.739992050873
258,6071.06582787151
146,3629.75845854523
156,4209.832450841062
158,3689.7341681000257
87,2693.983901736066
151,3968.2753144920957
30,1322.6133901715025
268,6241.533255560529
125,2987.221605903674
155,4131.006754801725
147,3693.774465889253
77,2209.3192448702403
118,3422.2523064592224
266,5943.91407736431
218,4807.88467590911
221,4830.842706619024
98,2911.5024878364097
276,5999.892661875929
105,3338.6985454960914
183,3939.5176480290693
173,4684.114092072509
115,3152.7543668006547
214,5055.821722032402
249,5643.7702282977625
98,2859.784028588018
76,2310.591324393788
123,3535.8254705041304
267,6168.55691216551
233,5497.575440365469
247,5649.096946946536
68,2145.7635940697332
129,3456.9504422230148
283,6032.457901835844
251,5482.953644473571
52,2025.8160235056787
279,6422.716359531985
39,1534.0041659118301
275,6304.608483266348
129,3466.8954263404175
209,4845.0600799226595
252,5645.423818649422
279,6428.96131377442
176,4075.406805596242
125,3402.063188928618
286,6094.35409894054
33,1717.2889093314109
45,1818.1493706032606
276,6384.007433578469
287,6785.672745986379
189,4996.368611115644
181,4673.592516254533
207,4479.781442167088
192,4320.105758316075
62,1883.7953555760803
208,4966.522762552709
130,3529.414755117281
297,6558.564046711634
94,2726.6916911192698
197,4551.15426691167
72,2087.120549252013
73,1908.3347257879445
41,1389.1916884722739
124,2942.0788485959165
282,6196.031686755667
271,6483.41044915196
64,1842.6502777920143
244,6338.095516209348
119,3303.3294752202223
293,6706.209030923718
122,3025.4105549546966
119,3355.0774698522478
144,3536.0905434405568
134,3510.5024536613405
225,5940.021134567199
143,3635.9850250688373
104,3167.318331571419
246,5544.205893718528
278,6351.252877375759
193,5102.700158908878
221,5063.2582355530585
256,6373.112139499232
206,5096.937983863869
128,3219.3833060264333
65,2258.1019347638803
125,3543.1386124066826
181,4575.452490554299
180,4007.4438200273858
219,4998.215706043783
253,5798.120341112124
66,2101.3916427249883
297,6895.16802438767
212,5084.425250233314
42,1306.1639103224747
246,5815.049462751491
91,2772.6464363209557
113,3199.94761198276
246,5990.195181388655
216,5328.480538637226
48,1874.7950198071092
206,4902.458572135338
129,2964.759766621002
262,6147.4045547831465
105,2951.9219217907776
294,6747.894709298844
235,5180.812856044922
252,5569.735864897934
81,2683.288213333226
173,4250.111211535836
98,2930.3751743431562
128,3367.079594032615
54,1887.4390348739364
82,2674.5709514939995
180,4270.988817945657
173,4284.030194235246
86,2404.4311778237393
68,2051.375943141921
138,3482.70696913284
210,5055.533442908428
71,2100.3128445841307
215,5413.93903139338
252,5616.348174445124
151,3773.28208895966
162,3930.067235431456
192,5001.744471088433
244,5729.138694127893
250,6057.961134867159
264,5708.609906740757
175,4366.762566467315
268,6382.407698905859
105,2920.570997318856
38,1826.3700937663377
103,2730.677887474907
282,6792.336860046395
259,6554.724530904812
36,1429.2903598900853
203,4748.624369649807
170,4563.346119279426
197,5134.893036432678
199,4649.284993211683
151,3714.953295726036
223,5189.553847784873
34,1143.8873722414307
58,1730.3370133789504
194,4428.964808311983
165,3908.050608723968
174,4271.3287781533045
246,5778.553683134131
161,4407.625123203519
99,2530.411489815302
281,6666.080599619146
211,4966.502788943622
196,4707.634072586892
120,3368.704873041651
231,5139.319494609425
48,1855.6024365460125
68,2201.613052053264
155,4023.112816002037
202,4912.292160976955
170,4813.825034977724
271,6060.565003937171
249,5647.250761249546
155,3744.214868393809
87,2401.1307202099365
177,4180.653218173371
30,1697.254132776888
219,5535.126061997464
220,5057.313426562631
146,3511.911106723943
163,4177.853889096601
87,2401.9442389297574
73,2418.2329544388776
202,4890.730755212825
189,4201.063971250692
202,5226.876300332516
178,4808.96941827388
109,2826.802827378903
242,5543.074610016004
232,5511.466347681227
281,6503.614197496756
