ITEM;DESTINATARIO_DOACAO;CNPJ_DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
1;SECRETARIA GERAL;13.235.618/0001-82;2020-05-17;BELO HORIZONTE;MASCARA DE PROTECAO;500;UN;4,39;2195
2;UPA ABAETE;18.715.516/0001-88;2020-05-22;ABAETÉ;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
3;SECRETARIA MUN. DE SAÚDE DEGOVVALADARES;20.622.890/0001-80;2020-05-22;GOVERNADOR VALADARES;ALCOOL EM GEL 5L;260;LT;15,98;4154,8
4;UPA FORMIGA;18.715.516/0001-88;2020-05-22;FORMIGA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
5;SECRETARIA MUN SAÚDE DEJUIZDEFORA;18.338.178/0001-02;2020-05-22;JUIZ DE FORA;ALCOOL EM GEL 5L;500;LT;15,98;7990
6;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-22;BARBACENA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
7;SECRETARIA MUN SAÚDE DEUBERLANDIA;18.431.312/0013-59;2020-05-22;UBERLANDIA;ALCOOL EM GEL 5L;260;LT;15,98;4154,8
8;UPA ARAGUARI;20.734.604/0024-65;2020-05-22;ARAGUARI;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
9;PREFEITURA DE CAMPOBELO;18.659.334/0001-37;2020-05-22;CAMPO BELO;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
10;PREFEITURA DE CARATINGA;18.334.268/0001-25;2020-05-22;CARATINGA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
11;PREFEITURA DE CARMODOPARANAIBA;18.602.029/0001-09;2020-05-22;CARMO DO PARANAIBA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
12;PREFEITURA DE CONCEICAODASALAGOAS;18.428.854/0001-39;2020-05-22;CONCEIÇAO DAS ALAGOAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
13;PREFEITURA DE CONGONHAS;16.752.446/0001-02;2020-05-22;CONGONHAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
14;PREFEITURA DE FRANCISCOSA;22.681.423/0001-57;2020-05-22;FRANCISCO SA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
15;PREFEITURA DE ITABIRA;18.299.446/0001-24;2020-05-22;ITABIRA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
16;PREFEITURA DE LAGOADAPRATA;18.318.618/0001-60;2020-05-22;LAGOA DA PRATA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
17;PREFEITURA DE LAVRAS;18.244.376/0001-07;2020-05-22;LAVRAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
18;CISRUN- CONSÓRCIO INTERMUNICIPAL  DE SAÚDE;18.715.516/0001-88;2020-05-22;MONTES CLAROS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
19;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;MASCARA DE PROTECAO;24000;UN;2,986;71664
20;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;DANONINHO UHT AMENDOA E BANANA 200ML;37719;UN;1,66;62613,54
21;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;DANONINHO UHT AMENDOA E CACAU 200ML;30429;UN;1,66;50512,14
22;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MILNUTRI CEREAL ARROZ BANAN MACA SUGAR F;19126;UN;1,14;21803,64
23;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MILNUTRI CEREAL MULTICEREIAIS SUGAR FREE;24044;UN;0,92;22120,48
24;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;TEA 4U CHA MATE LIMAO YUZU E MEL 1L;40244;UN;3,56;143268,64
25;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CHA PRETO HIBISCO E BERRIES LATA 310ML;720;UN;2,37;1706,4
26;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CHA CAPIM-LIMAO E CITRICOS LATA 310ML;60;UN;2,37;142,2
27;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;FORTFIT MORANGO 600G;4073;UN;33,12;134897,76
28;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;NUTRISON PACK 1000ML;1200;UN;36,62;43944
29;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;DANONINHO UHT AMENDOA E CACAU 200ML;27621;UN;1,66;45850,86
30;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;TEA 4U CHA MATE LIMAO YUZU E MEL 1L;436;UN;3,56;1552,16
31;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;CHA PRETO HIBISCO E BERRIES LATA 310ML;480;UN;2,37;1137,6
32;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;CHA CAPIM-LIMAO E CITRICOS LATA 310ML;720;UN;2,37;1706,4
33;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;NUTRI ENTERAL 1.5 BAU TP 200ML;2754;UN;7,7;21205,8
34;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;NUTRI ENTERAL 1.5 CHOC TP 200ML;2754;UN;8;22032
35;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;NUTRISON ENERGY PACK 1000 ML;1986;UN;43,14;85676,04
36;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;NUTRISON ENERGU MF PACK 1000ML;232;UN;44,02;10212,64
37;FHEMIG-FUNDAÇÃOHOSPITAL ARDEMINASGE;18.715.516/0001-88;2020-05-23;CONTAGEM;FORTFIT MORANGO 600G;300;UN;33,12;9936
38;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CHUVEIRO BONNADUCHA CHROME;91;UN;102,9;9363,9
39;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;TORNEIRA DE MESA LAVATÓRIO PREESMATIC CO;297;UN;119,9;35610,3
40;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;COLCHÃO PARA CAMA HOSPITALAR;449;UN;285;127965
41;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;SUPORTE PARA SORO COM RODIZIO;762;UN;86;65532
42;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MONTAGEM ESTRUTURA HC EXPOMINAS;1;UN;1600000;1600000
43;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;300;LT;2,83;849
44;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CAMA HOSPITALAR COM CABEREIRA ARTICULAVE;418;UN;1139,047;476121,646
45;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CAMISOLA ABERTA ATRAS EM TECIDO SUPERTEX;229;UN;29;6641
46;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;COBERTOR SOLTEIRO 150X220;421;UN;54;22734
47;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;FRONHA PARA TRAVESSEIRO IMPERMEÁVEL C/ C;421;UN;6,95;2925,95
48;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;LENCOL PERCAL MISTO MACA 120X220;383;UN;20,7;7928,1
49;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;LENCOL PERCAL MISTO TAMANHO CAMA 160X250;918;UN;27;24786
50;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;PIJAMA TECIDO 100% ALGODAO BLUSA E BERMU;229;UN;36;8244
51;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;SACO DE HAMPER TRACADO CRU;326;UN;29;9454
52;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;TOALHA DE BANHO ROYAL 100% ALG 080X150;459;UN;21;9639
53;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;TRAVESSEIRO IMPERMEAVEL C/ CAPA NAPA;459;UN;29;13311
54;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;BATERIA DE LITIO (OLD 2M86732);7;UN;1948,96;13642,72
55;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MONITORES MULTIPARAMETRICOS HOSPITALAR;3;UN;19000;57000
56;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CAMA HOSPITALAR COM CABECEIRA ARTICULAVE;272;UN;1196;325312
57;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;COLCHAO PARA CAMA HOSPITALAR;91;UN;285,7;25998,7
58;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MESA DE ALIMENTAÇÃO;740;UN;256,85;190069
59;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;INSTALAÇÃO PISO VINILICO;1;UN;181000;181000
60;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;PUIFICADOR CONSUL REF BRANCO 127V;36;UN;396,4;14270,4
61;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;FREZER HORIZONTAL 2 DOORS 534L 127V BR C;3;UN;796,35;2389,05
